Student ID,Student Name,Gender,Department,Semester
S006,Student F,male,Computer Science,Semester 4
S007,Student G,female,Electrical Eng.,Semester 4
S008,Student H,male,Civil Eng.,Semester 2
S009,Student I,female,Computer Science,Semester 6
S010,Student J,male,Mechanical Eng.,Semester 4
S011,Student K,female,Information Tech.,Semester 2
S012,Student L,male,Computer Science,Semester 8
S013,Student M,male,Electrical Eng.,Semester 6
S014,Student N,female,Civil Eng.,Semester 4
S015,Student O,male,Computer Science,Semester 4
S016,Student P,female,Mechanical Eng.,Semester 2
S017,Student Q,male,Information Tech.,Semester 6
S018,Student R,female,Computer Science,Semester 2
S019,Student S,male,Electrical Eng.,Semester 8
S020,Student T,female,Civil Eng.,Semester 6
S021,Student U,male,Mechanical Eng.,Semester 8
S022,Student V,female,Computer Science,Semester 4
S023,Student W,male,Information Tech.,Semester 4
S024,Student X,female,Electrical Eng.,Semester 2
S025,Student Y,male,Computer Science,Semester 6
S026,Student Z,female,Civil Eng.,Semester 8
S027,Student AA,male,Mechanical Eng.,Semester 6
S028,Student AB,female,Information Tech.,Semester 4
S029,Student AC,male,Computer Science,Semester 2
S030,Student AD,female,Electrical Eng.,Semester 4
S031,Student AE,male,Civil Eng.,Semester 4
S032,Student AF,female,Computer Science,Semester 6
S033,Student AG,male,Mechanical Eng.,Semester 2
S034,Student AH,female,Information Tech.,Semester 8
S035,Student AI,male,Computer Science,Semester 4
S036,Student AJ,female,Electrical Eng.,Semester 6
S037,Student AK,male,Civil Eng.,Semester 2
S038,Student AL,female,Computer Science,Semester 8
S039,Student AM,male,Mechanical Eng.,Semester 4
S040,Student AN,female,Information Tech.,Semester 6
S041,Student AO,male,Computer Science,Semester 4
S042,Student AP,female,Electrical Eng.,Semester 2
S043,Student AQ,male,Civil Eng.,Semester 6
S044,Student AR,female,Computer Science,Semester 2
S045,Student AS,male,Mechanical Eng.,Semester 8
S046,Student AT,female,Information Tech.,Semester 4
S047,Student AU,male,Computer Science,Semester 6
S048,Student AV,female,Electrical Eng.,Semester 8
S049,Student AW,male,Civil Eng.,Semester 4
S050,Student AX,female,Mechanical Eng.,Semester 2
S051,Student AY,male,Information Tech.,Semester 8
S052,Student AZ,female,Computer Science,Semester 4
S053,Student BA,male,Electrical Eng.,Semester 4
S054,Student BB,female,Civil Eng.,Semester 6
S055,Student BC,male,Computer Science,Semester 2
S056,Student BD,female,Mechanical Eng.,Semester 4
S057,Student BE,male,Information Tech.,Semester 6
S058,Student BF,female,Computer Science,Semester 8
S059,Student BG,male,Electrical Eng.,Semester 2
S060,Student BH,female,Civil Eng.,Semester 4
